type,time,total_objects,total_collision_probability,mean_pc,ecob,expected_max_loss,ssr_index,normalized_ssr_index
D,1,110,0.025176796717786498,6.294199179446624e-4,1,0,0.025176796717786498,1
D,2,1466.369584660439,0.6107980895981037,0.015269952239952592,1.5706226645378074,0,0.9593333229791761,38.10386737171539
D,3,2512.7311689316766,0.9368819685119067,0.02342204921279767,1.9282029830723635,0,1.8064986064713666,71.75251985869754
D,4,3136.6458889000073,1.1140540800860794,0.027851352002151983,2.0983065958021627,0,2.3376270243249313,92.84846879164267
D,5,3452.1943633583546,1.2009418677054589,0.030023546692636474,2.1734845571358146,0,2.610228603475657,103.67596135181188
D,6,3595.574794747025,1.2395348572951657,0.03098837143237914,2.2027031694600416,0,2.730327358820262,108.44617722521404
D,7,3653.6022812750234,1.2544717742410385,0.03136179435602596,2.2107021355598557,0,2.773263430314225,110.15155984299682
D,8,3672.119733547686,1.258494292554734,0.03146235731386835,2.209446342729681,0,2.780575612031234,110.44199320507114
D,9,3673.4264358879745,1.2577641364947065,0.03144410341236766,2.2044925608529278,0,2.772731682210187,110.1304392806791
D,10,3667.880143531313,1.2551414571128652,0.03137853642782163,2.1983269055546897,0,2.7592112354483294,109.59341914609202
D,11,3660.1165276993806,1.2519089267449508,0.03129772316862377,2.192010798727764,0,2.7441978864486174,108.99710226082655
D,12,3652.115210139336,1.24861679201588,0.031215419800397,2.1859614250250625,0,2.729428141985255,108.41046113134054
D,13,3644.652116574651,1.245482648123093,0.03113706620307732,2.180312839440595,0,2.7155418090032524,107.85890832112173
D,14,3637.9722715264234,1.242576757867011,0.031064418946675273,2.1750800432023163,0,2.7027039081835724,107.34899830502304
D,15,3632.0965393670404,1.2399067099489733,0.030997667748724332,2.170232158362105,0,2.690885415300217,106.87957826657129
D,16,3626.9591821922995,1.2374555128025464,0.03093638782006366,2.165724210036106,0,2.679987362919119,106.44671730720233
D,17,3622.4680668369556,1.2351983612430142,0.030879959031075356,2.1615103008595398,0,2.6698939814315983,106.04581716090254
D,18,3618.52987212079,1.2331097262732582,0.030827743156831452,2.1575485625009287,0,2.660494117326782,105.67246290896247
D,19,3615.0596821436275,1.2311661094562407,0.030779152736406017,2.153802573839302,0,2.651688735370571,105.32272095986097
D,20,3611.9837803854125,1.2293468962300929,0.030733672405752317,2.1502413386389643,0,2.643392515801451,104.9932024884639
D,21,3609.2396188419825,1.2276344094416949,0.030690860236042374,2.1468387397744673,0,2.6355331084695806,104.68103381109128
S,1,3766,0.2034168973797723,0.005085422434494308,1,0,0.2034168973797723,1
S,2,3698.352369034248,0.231874266953207,0.005796856673830175,1.5706226645378074,0,0.36418697899979685,1.7903477227846631
S,3,3642.914164708617,0.26031165256760547,0.006507791314190136,1.9282029830723635,0,0.5019337050093535,2.4675123427542043
S,4,3597.4685076155915,0.27836489987928503,0.0069591224969821255,2.0983065958021627,0,0.5840949054565124,2.871417827035418
S,5,3560.208950967579,0.285896137142746,0.007147403428568649,2.1734845571358146,0,0.6213908390245414,3.054765100779343
S,6,3529.65672762497,0.28712479273968783,0.007178119818492196,2.2027031694600416,0,0.6324506909982679,3.1091354707741132
S,7,3504.5990774142465,0.28535721598866814,0.0071339303997167034,2.2107021355598557,0,0.6308398067835637,3.101216343919589
S,8,3484.0415132557305,0.2824198394101447,0.007060495985253617,2.209446342729681,0,0.623991481299048,3.067549890578055
S,9,3467.168971861321,0.2791794334814405,0.006979485837036012,2.2044925608529278,0,0.6154489842529703,3.0255548687479408
S,10,3453.313742598869,0.2760027359862115,0.006900068399655288,2.1983269055546897,0,0.6067442405251963,2.982762240210683
S,11,3441.9289882302114,0.2730218736193233,0.0068255468404830825,2.192010798727764,0,0.5984668952624436,2.9420707078484565
S,12,3432.5669402668277,0.27026718653052917,0.006756679663263229,2.1859614250250625,0,0.59079364420579,2.90434891012421
S,13,3424.86098531772,0.26772886917480754,0.0066932217293701884,2.180312839440595,0,0.5837326909507442,2.8696371760155963
S,14,3418.5109707247284,0.26538397891714594,0.006634599472928648,2.1750800432023163,0,0.5772313963283083,2.83767673071248
S,15,3413.2711620035643,0.2632075152886394,0.006580187882215985,2.170232158362105,0,0.5712214140019907,2.8081315827737754
S,16,3408.940378636625,0.26117648920935277,0.006529412230233819,2.165724210036106,0,0.565636245772929,2.7806748262259933
S,17,3405.3539164359363,0.2592710567579639,0.0064817764189490975,2.1615103008595398,0,0.5604170598970774,2.7550172434829645
S,18,3402.376933853949,0.25747451456150316,0.006436862864037579,2.1575485625009287,0,0.5555137687727956,2.730912603271451
S,19,3399.8990373055262,0.2557729187070684,0.0063943229676767105,2.153802573839302,0,0.5508843706296745,2.7081544243652114
S,20,3397.829848267502,0.2541546318723903,0.006353865796809757,2.1502413386389643,0,0.5464937958585817,2.6865703041291438
S,21,3396.0953741816907,0.2526099079003412,0.0063152476975085305,2.1468387397744673,0,0.5423127363313127,2.666016163440118
Su,1,3639,0.31065018142271683,0.007766254535567921,1,780883763.4857724,0.31065018142271683,1
Su,2,3638.4330437248477,0.7603065604445585,0.01900766401111396,1.5706226645378074,662609092.5986356,1.194154715831008,3.8440496328121037
Su,3,3637.459876246727,0.9826782619331046,0.024566956548327613,1.9282029830723635,617400147.299146,1.8948031560597776,6.099475453006179
Su,4,3636.2654330628116,1.0901282054291195,0.027253205135727984,2.0983065958021627,598371822.5927882,2.2874232037218962,7.363340955559553
Su,5,3634.9653854860703,1.1375911515345423,0.028439778788363557,2.1734845571358146,590622053.3309641,2.4725368001946757,7.95923179207861
