type,time,total_objects,total_collision_probability,mean_pc,ecob,expected_max_loss,ssr_index,normalized_ssr_index
D,1,110,0.025176796717786498,6.294199179446624e-4,1,0,0.025176796717786498,1
D,2,1402.724632782257,0.5211793242428476,0.013029483106071191,1.452648099220959,0,0.7570901547146365,30.070948389545507
D,3,2288.010090053047,0.7101050931344723,0.01775262732836181,1.6035759006513937,0,1.1387074142802533,45.2284469324804
D,4,2725.0442102383254,0.8165934681974208,0.020414836704935522,1.568545785621954,0,1.2808642431074797,50.87478988947769
D,5,2861.844879652517,0.886354696600043,0.022158867415001074,1.5050819950311154,0,1.3340364950639916,52.98674450199389
D,6,2827.965770814555,0.8708672601314158,0.021771681503285394,1.4266193991995835,0,1.2423961274312678,49.34687050769885
D,7,2712.779674508508,0.7813552774591958,0.019533881936479893,1.3019109883628552,0,1.0172550215394345,40.404465784194876
D,8,2580.5927608518964,0.691956364551895,0.017298909113797376,1.1997509015698866,0,0.8301752722181572,32.97382433213469
D,9,2463.609216097521,0.6363269097404766,0.015908172743511913,1.1460448644810992,0,0.7292591870392011,28.965527076921816
D,10,2373.0573507376594,0.6208807588521371,0.015522018971303429,1.1301337889656897,0,0.7016783244974584,27.870039718029258
D,11,2301.4645457387237,0.6154227749737082,0.015385569374342706,1.1071207386551298,0,0.6813473172140816,27.062510169641012
D,12,2235.419324725777,0.5922179832184296,0.014805449580460739,1.0746162748142984,0,0.6364070830042254,25.277523989166852
D,13,2171.040612771192,0.5520913341375729,0.013802283353439323,1.0379715918617822,0,0.5730551209478717,22.76124033455888
D,14,2116.9901845863888,0.529015273393745,0.013225381834843624,1.0224098047680539,0,0.5408704023898174,21.482891904501578
D,15,2081.4961135050926,0.5327806575338779,0.013319516438346949,1.0341491942392513,0,0.5509746876949184,21.884225140749326
D,16,2062.7665829282623,0.55094097929497,0.01377352448237425,1.0598199187135773,0,0.5838982238923738,23.191918751120184
D,17,2049.3224944585313,0.5594595581087773,0.013986488952719433,1.0726805407164304,0,0.6001213813010985,23.836288151666825
D,18,2031.1091718524833,0.5469113184024427,0.013672782960061067,1.060034443167425,0,0.5797448348646955,23.026949828574764
D,19,2008.7308132316643,0.5259667143984258,0.013149167859960644,1.0365419076875184,0,0.5451865415226804,21.65432511664702
D,20,1990.4149165726133,0.5170051338986319,0.012925128347465797,1.0265583628581687,0,0.5307359438442478,21.080360213946598
D,21,1981.6837553567739,0.5252745536766512,0.01313186384191628,1.038023600204534,0,0.5452473833032673,21.65674169812356
S,1,3766,0.2034168973797723,0.005085422434494308,1,0,0.2034168973797723,1
S,2,3698.369832534,0.22913552899524348,0.005728388224881087,1.452648099220959,0,0.3328532906589294,1.6363109208056783
S,3,3642.961945706856,0.25030909704589255,0.006257727426147314,1.6035759006513937,0,0.40138963573660424,1.9732364464650332
S,4,3597.5603310744314,0.2606816603685047,0.006517041509212618,1.568545785621954,0,0.4088911197599516,2.010113835315097
S,5,3560.3551592593008,0.26139448676378174,0.006534862169094544,1.5050819950311154,0,0.3934201356285671,1.9340582847159709
S,6,3529.865839429643,0.2546325900955183,0.0063658147523879575,1.4266193991995835,0,0.3632637926987021,1.7858093274350813
S,7,3504.8798720593504,0.24362948247515892,0.006090737061878973,1.3019109883628552,0,0.3171839003235651,1.559280002837688
S,8,3484.402293701521,0.23258306376322702,0.005814576594080675,1.1997509015698866,0,0.27904174043981805,1.3717726699904225
S,9,3467.616294046122,0.22305774590411998,0.005576443647602999,1.1460448644810992,0,0.25563418417614664,1.256700831980966
S,10,3453.8521534194283,0.21584467862996304,0.005396116965749076,1.1301337889656897,0,0.24393336448816177,1.1991794567230403
