LaunchYear,S,Su,Sns
1998,7,0,0
1999,5,0,0
2006,0,1,0
2008,0,1,0
2009,0,1,0
2012,0,2,0
2013,6,3,0
2014,0,5,0
2015,2,8,2
2016,2,0,0
2017,12,1,7
2018,5,13,32
2019,15,64,32
2020,21,321,14
2021,3,449,3
2022,4,639,50
2023,37,238,31
