S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17,S_18,S_19,S_20,S_21,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,N_1,N_2,N_3,N_4,N_5,N_6,N_7,N_8,N_9,N_10,N_11,N_12,N_13,N_14,N_15,N_16,N_17,N_18,N_19,N_20,N_21,Su_1,Su_2,Su_3,Su_4,Su_5,Su_6,Su_7,Su_8,Su_9,Su_10,Su_11,Su_12,Su_13,Su_14,Su_15,Su_16,Su_17,Su_18,Su_19,Su_20,Su_21,lSlotted_1,lSlotted_2,lSlotted_3,lSlotted_4,lSlotted_5,lSlotted_6,lSlotted_7,lSlotted_8,lSlotted_9,lSlotted_10,lSlotted_11,lSlotted_12,lSlotted_13,lSlotted_14,lSlotted_15,lSlotted_16,lSlotted_17,lSlotted_18,lSlotted_19,lSlotted_20,lSlotted_21,lUnslotted_1,lUnslotted_2,lUnslotted_3,lUnslotted_4,lUnslotted_5,lUnslotted_6,lUnslotted_7,lUnslotted_8,lUnslotted_9,lUnslotted_10,lUnslotted_11,lUnslotted_12,lUnslotted_13,lUnslotted_14,lUnslotted_15,lUnslotted_16,lUnslotted_17,lUnslotted_18,lUnslotted_19,lUnslotted_20,lUnslotted_21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975660130128155,2.64325051196185,4.14086286292044,5.23815438199849,6.03180449556959,6.42523430994611,6.37179333356166,6.14250330318454,6.03287465848606,6.09258381152656,6.19731007640494,6.19633036443085,6.07492625835902,5.93778021230939,5.88177799109275,5.91573092255785,5.96478603679395,5.95784528254471,5.89647464568133,5.83959612323614,25,0.303519231084137,0.291879667341312,0.292905527879026,0.28045519309223,0.260543028845883,0.238845211570869,0.218905903726583,0.202027426733247,0.188500492931552,0.178181445402097,0.169930987259254,0.162808028285815,0.156574612237703,0.151355464003521,0.147312093184707,0.144303176046669,0.141808464910935,0.139384647017239,0.13696962489335,0.134786219810375,1,0.818730014005385,0.670317972736329,0.548807664097227,0.449323171635311,0.367872212464409,0.301186050423207,0.246588404298823,0.201888011587965,0.165290731971877,0.135327635014518,0.110796090933686,0.090711501379985,0.0742677563135016,0.0608048640604339,0.049782464503975,0.0407581506053501,0.0333697169986566,0.0273206208899993,0.0223680757353895,0.0183133045017246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3.99999172467265,3.9999712239459,3.99993280795722,3.99988061058859,3.99981833730241,3.99974982674489,3.99967988762044,3.9996117409803,3.9995455073187,3.99947959279911,3.99941275162597,3.99934532652691,3.99927860000214,3.9992133467697,3.99914919011004,3.99908514206951,3.99902060114083,3.99895581344624,3.99889142441823,3.99882772189344,1,2.51222805499534,6.78921897020943,10.619237912795,13.4262288832529,15.4564494184235,16.4604804209797,16.3198525737137,15.7313370636755,15.452158777681,15.6071171345864,15.8756897843263,15.871847965047,15.5596072371826,15.2083763736651,15.0660080382582,15.153935223809,15.279582182174,15.2610828715219,15.1033534575217,14.9578617385687,16,0.777222959778385,0.747685594671468,0.750272552741914,0.718347190324557,0.667328612458004,0.611748585824837,0.560680564286919,0.517454916669762,0.482814426694501,0.456389494565827,0.435260056982845,0.417016950047157,0.401052382798123,0.387686436291803,0.377332545778422,0.369627477618048,0.363237930930863,0.357029122763921,0.350843172777529,0.345251253725905,1,0.818728893052661,0.670314788633245,0.548801556873783,0.449314267114644,0.367861103486343,0.30117351185273,0.246575257911813,123.762311623082,492.798583701419,808.171250289936,918.85940685797,829.585194979175,726.815346024329,750.127969865095,862.527735412733,943.611434263251,927.64825166132,858.159036320525,821.709097817112,852.479931870142,0.8,0.79999834493453,0.799994244789181,0.799986561591444,0.799976122117719,0.799963667460481,0.799949965348979,0.799935977524089,0.799922348196059,0.79990910146374,0.799895918559822,0.799882550325194,0.799869065305382,0.799855720000428,0.79984266935394,0.799829838022008,0.799817028413901,0.799804120228166,0.799791162689247,0.799778284883647,0.799765544378689,0,0,0,0,0,0,0,136.32931189674,431.927639821692,446.532723137103,283.776788035671,85.289936764313,52.5428173063499,171.098541901151,274.054837386946,261.984655406518,171.127256983,108.876859847419,131.431157672781,198.307768349893,233.18378300511
4,3.99998106963158,3.99993366817945,3.99984522466336,3.99972528313321,3.99958230889737,3.99942514296704,3.9992648287189,3.99911018243241,3.99896558580869,3.99882928926949,3.99869547010231,3.99856043511895,3.99842488075572,3.99829191638965,3.99816302901289,3.99803650717165,3.99790950874552,3.99778096699909,3.99765219664262,3.99752498718001,2,5.88674116299627,15.8312774378187,24.6717101917079,31.1553641353063,35.8446235939701,38.1492330523692,37.8006478418226,35.7655330304841,33.1458391910006,31.8229635878305,31.8526256622675,32.3149554482961,32.135363801002,31.1962634299359,30.2689261515828,30.042857570481,30.4196743867703,30.74560117239,30.5725318287204,30.0711955814963,27,1.8001527193575,1.73331351358595,1.73905110079875,1.66483190069309,1.54647777330246,1.41763093041602,1.29929657348791,1.19894801322337,1.11740432356001,1.054249691412,1.00441636101812,0.962846084772957,0.926607805540751,0.895506938730552,0.870715646085328,0.852211360420255,0.837526883550392,0.82368870638576,0.809637136026196,0.796459369894785,6,4.91235899784177,4.02184755570977,3.29273049453556,2.69577085443797,147.812951727467,547.984919176807,904.612948014482,942.358805534175,771.506573949123,631.631892112516,611.586306322244,723.370347386382,842.592136952224,858.596632478458,782.343988618747,713.656199999827,724.677208374943,793.156339322522,842.828514197573,830.154952285388,0.8,0.799996213926315,0.79998673363589,0.799969044932673,0.799945056626642,0.799916461779474,0.799885028593408,0.79985296574378,0.799822036486483,0.799793117161737,0.799765857853898,0.799739094020462,0.79971208702379,0.799684976151144,0.79965838327793,0.799632605802579,0.799607301434331,0.799581901749104,0.799556193399819,0.799530439328524,0.799504997436002,0,0,0,0,160.654687300269,471.100677751853,503.109040075183,222.609178689443,0,0,104.23282126589,245.677593903975,276.245310908983,186.208728444859,87.6172643358996,80.710088445203,154.916863298642,220.518256091921,213.466009553855,154.612709813576,112.717755796155
64,63.9993641128809,63.9977449220159,63.9947550711061,63.9907168726016,63.9859711151182,63.9809696212333,63.9761551511469,63.9716767268481,63.9674820893102,63.9634450038314,63.9594289603966,63.9554083062931,63.9514594544457,63.947648319391,63.9439488619691,63.9402719629337,63.9365573124701,63.9328224569011,63.9291256588703,63.9254947155449,2,12.7939355205946,33.9775464575677,52.4968141927523,66.1037225415123,74.2902380800656,74.5058436548154,69.6048254924879,64.7999122900717,61.1769670814301,60.0387836252719,60.3929673397509,60.1160337362411,58.3477722964392,56.1459961120391,55.0568348714433,55.394684285485,56.0924847028777,55.9973689744532,55.0422696079765,54.1129416435687,34,3.80074491358274,3.66713408169448,3.67783476840278,3.51962194655435,3.26766773265666,2.99027215174836,2.73392989029339,2.52154962860145,2.35307439055598,2.22220712175424,2.11724082326942,2.0275656945289,1.94890701235684,1.88306561668233,1.83224660663923,1.79436473309467,1.76309556955693,1.73260639166399,1.70202172420057,1.67448601792078,19,15.5557148560717,12.7355916286744,10.4264866098848,192.379782580618,533.336985748518,696.188433279562,576.561549655061,472.01189473363,386.422485166247,408.10844903694,506.64847620983,574.426304267228,553.668913154787,487.099500756257,456.740878687604,492.064728703992,549.268468443789,569.061415692097,540.21181481504,502.792810939755,12.8,12.7998728225762,12.7995489844032,12.7989510142212,12.7981433745203,12.7971942230236,12.7961939242467,12.7952310302294,12.7943353453696,12.793496417862,12.7926890007663,12.7918857920793,12.7910816612586,12.7902918908891,12.7895296638782,12.7887897723938,12.7880543925867,12.787311462494,12.7865644913802,12.7858251317741,12.785098943109,0,0,0,202.847764183403,414.695695108482,286.400383021141,7.30263503598905,0,0,101.239184057058,190.37612165371,176.149056819605,92.0217221584752,37.3200642836211,63.9545968395402,130.35250539704,161.561417233844,131.728299687093,82.0172899643071,66.7897198585443,95.6531451343784
231,230.995842636178,230.984620112849,230.964074201271,230.936972267125,230.906536157082,230.875817480353,230.846573318366,230.819055301461,230.792966160964,230.767746233026,230.742953040527,230.718565489401,230.694813266072,230.671783544777,230.649247837478,230.626854091664,230.604433836499,230.582086962786,230.559991625915,230.538175651782,1,24.6194676521925,65.7442105024085,100.484872762091,122.127308955109,129.888949478268,126.021020987737,118.838641788657,111.982269999373,107.049006598032,104.648550486177,103.304636850693,101.212359922874,98.1328465987927,95.3455869587655,94.0483181017304,94.0618619308779,94.1684511918789,93.464742363604,92.1851166749532,91.2378471872983,46,7.25121291113103,7.02454093903836,7.03757414751805,6.72371174138935,6.22568380871096,5.68739173471954,5.20433898616184,4.80443658983191,4.48686600704647,4.23675525114861,4.03290461687842,3.85917353841757,3.71017726783958,3.58743246182276,3.4918084856119,3.41829936799646,3.35635569307922,3.29728516777697,3.24004232531512,3.1889639657787,28,22.9240099025948,18.7676001282765,77.6091597431594,308.839846882782,478.396719839371,426.440672929871,349.091102057851,285.773893192064,251.977452263395,280.20493684609,335.910943487424,361.338134592197,339.641024012125,305.498217078582,300.742216540068,328.926706053478,358.417399675005,361.077105638358,340.723040659753,323.845500947716,46.2,46.1991685272356,46.1969240225698,46.1928148402541,46.1873944534251,46.1813072314163,46.1751634960706,46.1693146636731,46.1638110602923,46.1585932321928,46.1535492466052,46.1485906081055,46.1437130978801,46.1389626532145,46.1343567089554,46.1298495674956,46.1253708183327,46.1208867672997,46.1164173925572,46.111998325183,46.1076351303564,0,0,68.6803607776659,270.672376472934,248.903699955932,38.4210242274808,0,0,19.899601282234,81.5720218464207,117.539995844791,95.2776843576399,48.3684022923118,30.2929121567434,55.8849601200182,91.2792058189636,98.360441778595,74.6566341889806,49.795315243703,49.5578495917027,70.0139525837109
28,27.999222193821,27.9966904818429,27.992086163694,27.9862306750058,27.9799260566609,27.9736861686475,27.9677273820681,27.9620812231909,27.9566962983741,27.9514960398568,27.9464392753577,27.9415276951091,27.9367687285903,27.932140781888,27.9275959550695,27.9230915594787,27.9186151101784,27.9141785652619,27.9097920176959,27.9054459457245,1,43.859338645262,124.295442442274,185.598803863225,215.105471450302,220.506351148555,213.339849492372,202.511655025002,192.200364839725,184.587064911259,179.269921257676,174.486134354619,169.215428253327,164.049671857881,160.247227921339,158.273390538007,157.341603917606,156.275961719653,154.636594411583,152.947584787554,151.938242857164,88,13.8263448706507,13.4814192095909,13.4636304639647,12.8090331762504,11.8216117078917,10.7979313105201,9.88907652652585,9.13771955895502,8.53901755765418,8.06139706461956,7.66832792500298,7.33567938686134,7.05527672554182,6.82601639390688,6.64515667601979,6.50267674454281,6.38158113893588,6.26853274984271,6.16143910549781,6.06585262322298,121,99.0634176965471,81.0982901025472,170.333526913814,264.918919121689,264.976887626876,216.891258146908,177.533733746056,154.031985415041,168.842011269717,202.911820365811,221.562198792719,211.261956287883,190.09499982716,184.525731375623,201.153972506114,222.227565539248,227.792274988466,216.496586541455,204.066276826259,204.593603150403,5.6,5.59984443876419,5.59933809636857,5.5984172327388,5.59724613500116,5.59598521133218,5.59473723372949,5.59354547641362,5.59241624463818,5.59133925967481,5.59029920797136,5.58928785507155,5.58830553902183,5.58735374571806,5.58642815637759,5.5855191910139,5.58461831189575,5.58372302203567,5.58283571305239,5.58195840353917,5.58108918914491,0,0,114.699550276513,138.47698000853,53.113681141419,0,0,9.61334558907239,47.1811877837405,71.3970884648546,61.2024397052585,32.9898197756953,18.9358656683529,31.9084978680713,55.2863614223381,63.5197922434284,50.6251206509665,33.1345119524223,29.6210102052941,41.4302281163963,54.0738740927657
35,34.9980310344903,34.9913214900956,34.9801454433745,34.9667392608453,34.9527385207371,34.9389916342099,34.9258325408224,34.9133125551904,34.9013585589195,34.8898752963277,34.8787929321137,34.8680665745954,34.8576517394499,34.8474895268544,34.8375145723374,34.8276733020367,34.8179356277111,34.808290573259,34.7987309614515,34.7892421186069,1,101.566152396085,256.100221911052,352.769921597012,390.302062181359,393.177569927491,380.176057687691,362.379234855574,345.350711155753,330.965078542785,318.963261589606,308.462820260265,299.088314831063,291.150201661366,285.040850554837,280.690575713909,277.539964731244,274.914347334507,272.473537553819,270.319711484968,268.696233211326,120,25.8258302732877,25.4286900532272,25.20225030967,23.8204447890891,21.9224777556207,20.0231700072449,18.3550642663605,16.9791464445664,15.8744209061228,14.9856479183334,14.2555119633589,13.6448144559659,13.1340976905811,12.7140043640864,12.3771712932537,12.1085812178108,11.8818460182474,11.673738388284,11.4774542482057,11.2999056495477,159,130.170273547551,106.552155625676,114.140609480971,122.505821178609,117.035086955152,102.5266483877,96.1108464534159,103.713229012208,115.51954780511,120.499789977116,116.559534029604,110.811651912799,110.934237592294,117.688351365344,125.368676379275,127.892910924454,124.969333591631,121.502256955101,121.935220902544,125.962155448856,7,6.99960620689806,6.99826429801912,6.9960290886749,6.99334785216906,6.99054770414741,6.98779832684198,6.98516650816448,6.98266251103808,6.98027171178391,6.97797505926553,6.97575858642275,6.97361331491908,6.97153034788999,6.96949790537088,6.96750291446748,6.96553466040735,6.96358712554223,6.96165811465179,6.9597461922903,6.95784842372137,0,0,29.7220703205372,32.1079249500416,18.5179898993139,7.44687531470241,13.4677882923721,27.6497376389239,33.8104878429997,28.6416826218272,19.7940709632554,17.0086245517039,22.3341422553503,29.6757290980378,32.0500930358821,27.8983189095403,22.3919044155342,21.2061861753116,24.8150622206841,28.8674386158131,29.2828707017934
41,40.9941135775976,40.9764221268999,40.9510133729711,40.922686592483,40.8941220659248,40.8664914417333,40.8401758912148,40.8151881640498,40.7913723233228,40.7685265644681,40.7464835610052,40.7251296440562,40.7043753361013,40.684122103122,40.6642558823132,40.6446672897966,40.6252819717587,40.6060701069956,40.5870240132718,40.568127473042,5,273.871325754732,538.333907005219,663.784405181194,697.268246264488,686.209447351351,657.883166554957,625.467282060228,595.143203345763,569.47371235603,548.443327064408,530.741727263326,515.313129867346,502.058403802937,491.419968426467,483.62354270707,478.178276670794,473.981029920811,470.111233215553,466.430820276707,463.382101861304,169,45.9343159832035,45.4888770125419,44.2502013610233,41.3029125317035,37.8052614738524,34.4992914322071,31.660186451045,29.3321556717466,27.4631653584175,25.9604137835956,24.7293961107011,23.7016083135717,22.839186131681,22.1247342448003,21.5489154064241,21.0885704591857,20.6986533961332,20.3385684251597,19.9966020738213,19.6856277324253,233,190.734895794367,156.086891665507,127.705976580129,104.477060567532,85.4726784069712,69.9268996044043,57.2105892300431,54.6666541322384,63.0303700636832,72.8621150823895,75.0084345257631,69.6293523705445,64.3629857988762,65.5338448961534,72.0954091328603,77.5555157660141,77.4418186540118,73.4707671778622,70.8140332347033,72.3630209431484,8.2,8.19882271551952,8.19528442537998,8.19020267459421,8.18453731849659,8.17882441318495,8.17329828834666,8.16803517824296,8.16303763280996,8.15827446466456,8.15370531289363,8.14929671220105,8.14502592881123,8.14087506722026,8.13682442062439,8.13285117646265,8.12893345795932,8.12505639435175,8.12121402139913,8.11740480265436,8.11362549460841,0,0,0,0,0,0,0,8.67304269407459,20.1993406245155,23.4959315572302,16.9846883091754,9.10851561429019,8.15291758629546,14.2001322595614,20.3835494755933,20.4832666732404,15.4264545140029,11.1462982469827,11.8002007633508,15.9086679785813,18.7854485540196
37,36.9807930435867,36.9426144583838,36.89836045724,36.8534825858667,36.8100798680974,36.768789250405,36.7296395906795,36.6924308164986,36.6568978388475,36.6227779294936,36.5898354788871,36.5578684559374,36.5267074360835,36.4962083528081,36.4662351321277,36.4366559853562,36.4073723549067,36.3783360917081,36.3495305425165,36.320935750004,7,845.278070619915,1150.83375144574,1226.97342319735,1209.79746885659,1159.41103550536,1101.56473848213,1046.62227411261,998.172081812793,956.915752966461,922.406544488996,893.812551272296,870.239961293353,850.85997627172,835.213544437571,823.311955283848,814.721274052188,808.150213021874,802.315777791475,796.832402780362,792.152455290753,97,78.9162638910881,75.5677493764777,70.0970082870271,63.7644296129727,57.8291240744391,52.7688966257843,48.6289947264369,45.2908851278092,42.6010503685197,40.4194395384257,38.6321837277516,37.1509506063165,35.9084441312897,34.8645469543197,34.0046267296935,33.2994381314167,32.6907023006823,32.1254304624803,31.5879393050614,31.0944364424876,530,433.684950828469,354.668522522913,289.994520377381,237.10867483123,193.875690468346,158.535343310737,129.645129904476,106.025709265632,86.7136861279101,70.9222020839857,58.008526500609,47.4475616852569,38.8102293959584,35.0041556380958,39.6072322409926,47.0263814501094,49.7576226544328,46.2557357437703,41.431779521962,40.595825049767,7.4,7.39615860871733,7.38852289167675,7.379672091448,7.37069651717334,7.36201597361949,7.353757850081,7.34592791813591,7.33848616329973,7.3313795677695,7.32455558589871,7.31796709577742,7.31157369118748,7.30534148721671,7.29924167056162,7.29324702642554,7.28733119707125,7.28147447098134,7.27566721834163,7.26990610850331,7.26418715000081,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59659232886617,12.1135031360347,16.1462256933651,12.4617504635355,6.12994657947141,3.96691038507536,7.39961205072184,11.9984922226166
2529,2497.35643782124,2471.46914261206,2450.28947532669,2432.95827197303,2418.77453285571,2407.1658609624,2397.66441780206,2389.88758654214,2383.52233427492,2378.31250229911,2374.04844517781,2370.55857041638,2367.70242361695,2365.36503367411,2363.4522868288,2361.887141551,2360.60653095896,2359.55882762691,2358.70176852305,2358.0007564746,2,2.64127123453275,3.0338726314668,3.25697319425757,3.36587250237173,3.39684481995235,3.37413937741328,3.31443683404625,3.22948917584454,3.12772328566462,3.0152558590211,2.89656052764082,2.77492037973455,2.65274296916001,2.53178440627042,2.41331172834904,2.29822240347129,2.18713345716012,2.080448684096,1.97840979727696,1.88113563901003,136,112.91352265424,88.0951306480158,72.5076473141973,63.0341403556963,56.9639317297983,52.8034928109245,49.7707109642953,47.4426902058632,45.5784186778183,44.033153997661,42.7158678693827,41.5669982753579,40.5461971881846,39.6252673373793,38.7839335878286,38.007231518749,37.2838517242927,36.6050651553387,35.9640100448356,35.3552083912572,334,273.443616354686,223.86841134462,183.282359738737,150.054926762836,122.851638683506,100.580178382819,82.3463595320478,67.41815173394,55.1962584107094,45.1900418115355,36.9978184351435,30.2907294602485,24.7995366906819,20.3038129947841,16.6230928133138,13.6096272222032,11.1424525652246,9.12253446504808,7.46879222519152,6.11484399730208,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
