type,time,total_objects,total_collision_probability,mean_pc,ecob,expected_max_loss,ssr_index,normalized_ssr_index
D,1,110,0.025176796717786498,6.294199179446624e-4,1,0,0.025176796717786498,1
D,2,1400.722137177955,0.5182954771231577,0.012957386928078943,1.4546776509841022,0,0.7539528471771996,29.94633732116362
D,3,2282.9630179430947,0.6985511844010236,0.01746377961002559,1.6026103482367304,0,1.119505356894105,44.465758271115355
D,4,2708.8170234666122,0.7662036283618817,0.019155090709047043,1.559561547959409,0,1.194941716700172,47.462023469252095
D,5,2836.5500115793743,0.8058908737183793,0.02014727184295948,1.4620229194835883,0,1.1782309279789247,46.798285786155915
D,6,2805.5305281848305,0.8020637251037137,0.020051593127592842,1.3680674987450856,0,1.0972773142368035,43.58288016289287
D,7,2697.9029143061834,0.7370836531824274,0.018427091329560684,1.2593463000424612,0,0.9282435714570706,36.8690100596197
D,8,2567.9569054206177,0.6506871963907136,0.01626717990976784,1.1775194167942769,0,0.7661968080094962,30.43265656858586
D,9,2446.009652095827,0.5798647747365889,0.014496619368414723,1.0992633754589782,0,0.6374241095867028,25.317919381554432
D,10,2344.2309683494823,0.5365626763127783,0.013414066907819457,1.0227204657627431,0,0.5487536302295086,21.796006711284043
D,11,2265.4743547391513,0.5211306739190339,0.013028266847975848,1.0020688064575791,0,0.5222087924224802,20.741669334509044
D,12,2202.100024236699,0.5120739204496456,0.012801848011241141,0.9999189951670147,0,0.5120324399872435,20.337473655872632
D,13,2145.381043967656,0.4925169269297467,0.012312923173243668,0.9879612814182,0,0.48658765424966655,19.32682937007272
D,14,2093.0692903002227,0.46389066185663597,0.011597266546415899,0.9697513236791323,0,0.4498585833778615,17.867983303056686
D,15,2049.393389918975,0.4432498159077003,0.011081245397692507,0.9545249025880332,0,0.4230929873514613,16.804877605917252
D,16,2018.845716911697,0.44337206925549255,0.011084301731387313,0.9555072411644352,0,0.4236452227036826,16.826811903533088
D,17,2000.0097519154754,0.45528410663779095,0.011382102665944773,0.9693229503658202,0,0.4413173335008102,17.52873244549953
D,18,1985.9886741082723,0.4609678747659841,0.011524196869149603,0.977252554194127,0,0.4504820330164965,17.89274616886616
D,19,1970.8344244875125,0.45246672722306025,0.011311668180576506,0.9720036561172223,0,0.4397993131322085,17.468438024981396
D,20,1954.373617772428,0.4381008276445786,0.010952520691114465,0.9609167011060781,0,0.42097840205207093,16.72088815630246
D,21,1940.6469153095416,0.4312552431658022,0.010781381079145055,0.9546135236889344,0,0.4116820872878347,16.351646792182905
S,1,3766,0.2034168973797723,0.005085422434494308,1,0,0.2034168973797723,1
S,2,3698.3698711676802,0.22901773601660025,0.005725443400415006,1.4546776509841022,0,0.33314698226232525,1.6377547123843472
S,3,3642.9621894052416,0.24998955932052047,0.006249738983013012,1.6026103482367304,0,0.4006358547182061,1.9695308495942343
S,4,3597.5613718234035,0.259199416155653,0.0064799854038913255,1.559561547959409,0,0.4042374426898852,1.9872363009017284
S,5,3560.358071689899,0.2589944683214951,0.006474861708037377,1.4620229194835883,0,0.37865584870549196,1.8614768663910677
S,6,3529.8709216662182,0.2525299601300005,0.006313249003250013,1.3680674987450856,0,0.34547803091324597,1.6983743010702324
S,7,3504.8865697179635,0.2422223213187521,0.006055558032968802,1.2593463000424612,0,0.3050417841404666,1.4995892085157712
